Date,Open,High,Low,Close,Adj Close,Volume
2000-12-14,22.577093,22.970423,22.026432,22.400093,14.626612,4812763
2000-12-15,22.262428,23.108088,22.262428,22.400093,14.626612,8663864
2000-12-18,22.675425,23.481750,22.518093,23.226086,15.165957,5101961
2000-12-19,23.285086,23.560415,22.950754,23.521082,15.358582,6552718
2000-12-20,22.970423,23.442417,22.891756,23.068754,15.063223,7112046
2000-12-21,22.931089,23.619415,22.773758,23.599749,15.409945,5796036
2000-12-22,23.521082,24.071743,23.521082,23.914412,15.615415,6790750
2000-12-26,23.914412,24.622404,23.698080,24.445406,15.962142,4664351
2000-12-27,24.366739,25.094398,23.914412,25.094398,16.385906,4339877
2000-12-28,24.897734,24.897734,24.543737,24.760069,16.167599,6341381
2000-12-29,24.858402,25.015734,24.622404,24.740402,16.154758,4268372
2001-01-02,24.465073,24.465073,23.462084,23.678413,15.461314,5387346
2001-01-03,23.521082,23.993076,23.029421,23.639080,15.435630,7914491
2001-01-04,23.953745,23.993076,22.872089,23.147421,15.114590,7748282
2001-01-05,23.285086,23.285086,22.360762,22.380428,14.613762,6629308
2001-01-08,22.459093,23.108088,22.400093,22.773758,14.870598,6004195
2001-01-09,23.147421,23.186752,22.105099,22.223097,14.511038,6388416
2001-01-10,22.105099,22.872089,21.741268,22.734425,14.844911,6035975
2001-01-11,22.990088,23.304750,22.911423,23.245752,15.178796,5776651
2001-01-12,23.245752,23.245752,21.869101,22.242764,14.523875,7496266
2001-01-16,22.341095,22.655758,21.810101,22.321428,14.575244,7352939
2001-01-17,22.773758,23.088421,22.537760,22.695091,14.819231,7469571
2001-01-18,22.695091,23.186752,22.695091,22.990088,15.011854,17543196
2001-01-19,22.655758,22.773758,22.085430,22.360762,14.600920,7931970
2001-01-22,22.577093,22.655758,21.947765,22.616425,14.767865,5784913
2001-01-23,22.616425,23.245752,22.459093,22.891756,14.947648,8970541
2001-01-24,22.970423,23.147421,22.754091,22.970423,14.999014,4985329
2001-01-25,23.344084,24.032410,23.226086,23.776747,15.525525,4614774
2001-01-26,23.796413,23.796413,22.970423,23.009754,15.024704,6961409
2001-01-29,23.379484,23.596601,23.159220,23.159220,15.122295,3962648
2001-01-30,23.363750,23.536816,23.127752,23.417244,15.290777,5134695
2001-01-31,23.599749,23.631214,23.244179,23.593454,15.405843,6757064
2001-02-01,23.593454,23.593454,22.983007,23.332285,15.235303,4237227
2001-02-02,23.410950,23.599749,23.118313,23.272497,15.196259,4637973
2001-02-05,23.363750,23.587162,23.215858,23.348019,15.245582,4963400
2001-02-06,23.269352,24.156702,23.184393,23.398363,15.278445,6052501
2001-02-07,23.398363,23.788546,23.244179,23.366898,15.257901,5148042
2001-02-08,23.395218,23.782253,23.244179,23.602896,15.412004,3237111
2001-02-09,23.914412,23.961611,23.470736,23.561989,15.385296,5073041
2001-02-12,23.835747,23.848331,23.555695,23.599749,15.409945,4125362
2001-02-13,23.615480,24.559471,23.599749,24.354940,15.903065,7958983
2001-02-14,24.307741,24.638138,24.087477,24.229074,15.867003,6195511
2001-02-15,24.386408,25.094398,24.370672,24.858402,16.279131,7002405
2001-02-16,24.858402,25.047199,24.496538,24.622404,16.124584,6017543
